Date,Price,Open,High,Low,Vol.,Change %
02/16/2014,"1,323.39","1,318.92","1,332.48","1,307.85",,0.34%
02/09/2014,"1,318.93","1,266.13","1,321.34","1,265.22",,4.09%
02/02/2014,"1,267.06","1,245.18","1,273.74","1,240.72",,1.87%
01/26/2014,"1,243.80","1,268.99","1,278.62","1,238.55",,-2.01%
01/19/2014,"1,269.25","1,253.47","1,273.31","1,231.97",,1.23%
01/12/2014,"1,253.82","1,248.38","1,255.49","1,234.59",,0.54%
01/05/2014,"1,247.10","1,236.88","1,248.81","1,218.84",,0.85%
12/29/2013,"1,236.55","1,212.13","1,240.38","1,184.88",,1.93%
12/22/2013,"1,213.19","1,203.67","1,219.04","1,192.92",,0.83%
12/15/2013,"1,203.25","1,238.20","1,252.01","1,185.71",,-2.83%
12/08/2013,"1,238.30","1,229.69","1,267.76","1,220.60",,0.77%
12/01/2013,"1,228.85","1,251.65","1,251.65","1,212.05",,-1.97%
11/24/2013,"1,253.49","1,243.20","1,257.99","1,228.84",,0.80%
11/17/2013,"1,243.60","1,290.45","1,290.61","1,236.90",,-3.60%
11/10/2013,"1,290.05","1,288.69","1,294.38","1,261.28",,0.14%
11/03/2013,"1,288.20","1,315.14","1,325.71","1,281.40",,-2.06%
10/27/2013,"1,315.35","1,353.16","1,362.21","1,306.30",,-2.72%
10/20/2013,"1,352.13","1,316.44","1,355.60","1,310.23",,2.73%
10/13/2013,"1,316.24","1,272.68","1,325.70","1,252.16",,3.39%
10/06/2013,"1,273.11","1,311.03","1,330.09","1,262.63",,-2.92%
09/29/2013,"1,311.35","1,335.85","1,344.17","1,278.80",,-1.86%
09/22/2013,"1,336.20","1,326.09","1,344.30","1,306.39",,0.82%
09/15/2013,"1,325.38","1,329.38","1,374.93","1,291.73",,-0.10%
09/08/2013,"1,326.72","1,391.05","1,391.12","1,305.03",,-4.66%
09/01/2013,"1,391.61","1,396.59","1,416.74","1,363.28",,-0.34%
08/25/2013,"1,396.40","1,399.09","1,434.02","1,391.65",,-0.03%
08/18/2013,"1,396.85","1,376.35","1,400.21","1,355.26",,1.49%
08/11/2013,"1,376.40","1,314.60","1,380.21","1,314.60",,4.71%
08/04/2013,"1,314.50","1,312.99","1,319.80","1,273.14",,0.19%
07/28/2013,"1,312.00","1,333.80","1,338.76","1,283.19",,-1.64%
07/21/2013,"1,333.90","1,297.15","1,348.30","1,309.35",,2.90%
07/14/2013,"1,296.35","1,285.45","1,297.95","1,274.21",,0.89%
07/07/2013,"1,284.90","1,222.71","1,298.97","1,215.45",,4.99%
06/30/2013,"1,223.80","1,233.49","1,265.93","1,207.99",,-0.85%
06/23/2013,"1,234.25","1,297.80","1,302.12","1,181.82",,-4.86%
06/16/2013,"1,297.25","1,391.29","1,392.11","1,269.39",,-6.72%
06/09/2013,"1,390.70","1,378.89","1,395.16","1,367.15",,0.45%
06/02/2013,"1,384.47","1,389.16","1,423.74","1,377.86",,-0.18%
05/26/2013,"1,386.90","1,388.15","1,421.50","1,373.64",,0.06%
05/19/2013,"1,386.05","1,363.09","1,414.75","1,339.45",,1.98%
05/12/2013,"1,359.20","1,448.69","1,448.69","1,355.60",,-6.15%
05/05/2013,"1,448.20","1,470.39","1,478.95","1,421.11",,-1.53%
04/28/2013,"1,470.70","1,464.49","1,488.30","1,440.24",,0.53%
04/21/2013,"1,463.00","1,404.56","1,485.31","1,404.00",,4.18%
04/14/2013,"1,404.35","1,478.30","1,495.66","1,321.85",,-5.04%
04/07/2013,"1,478.85","1,581.14","1,590.50","1,477.50",,-6.52%
03/31/2013,"1,582.00","1,597.74","1,604.10","1,540.24",,-0.92%
03/24/2013,"1,596.74","1,609.37","1,613.83","1,590.06",,-0.73%
03/17/2013,"1,608.45","1,597.26","1,616.86","1,592.56",,1.00%
03/10/2013,"1,592.45","1,578.40","1,599.71","1,575.65",,0.89%
03/03/2013,"1,578.35","1,579.01","1,586.52","1,561.41",,0.20%
02/24/2013,"1,575.24","1,581.29","1,620.05","1,564.83",,-0.35%
02/17/2013,"1,580.70","1,609.85","1,618.90","1,554.89",,-1.79%
