Line,,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted
Line,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
,Current account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"  Secondary income (current transfer) receipts 1",9381,8972,9384,9808,9802,10128,10420,11061,11936,12872,13765,14445,14060,16024,16005,15942,14792,14348,14584,16422,19043,13833,16159,16320,18728,17156,15929,18495,15456,16649,18275,19802,18679,20248,20588,25032,22426,21655,20079,20996,21141,23502,23062,24209,23720,25127,25842,26964,25604,26932,29225,30304,30882,29746,31404,33757,33811,43338,31429,32010,32919,34771,32000,33174,34139,34969,35269,36748,43419,37095,43521,36479,34832,37075,38802,37869,37931,38407,41160,39154,41235,40815,42861,42304,44159,42955,43687,44391,44039,45265,45309,54083,47046,49691,47632,52276,49883,50165,50104
9,Imports of goods and services and income payments (debits),437966,470121,490860,489091,459333,451423,442719,408746,409481,454773,469708,467653,463115,482876,500826,512619,519589,570415,588181,618809,605798,650750,675914,709924,696786,759871,788810,775397,767003,823367,843135,850980,843156,901505,914477,791762,632286,650902,697907,729803,712925,778623,812559,815360,816705,887924,904757,882591,864794,904743,904969,894806,855976,904560,918475,910916,883154,951334,960527,954102,876447,930771,938287,901520,858058,910297,934072,932979,912032,977534,999994,1028489,991338,1059982,1085433,1097102,1031341,1091520,1094302,1066827,976505,858124,992981,1054957,1049130,1145063,1211632,1256715,1274510,1382260,1397528,1370323,1329476,1386453,1420523,1414108,1391528,1488260,1545408
10,"  Imports of goods and services",335244,359940,380471,376995,353790,350895,342129,328926,316241,352884,366600,371036,357255,374998,390136,402039,402007,442193,458736,476022,457771,497369,517349,535556,519011,561873,581748,564891,546127,589255,610628,625802,611523,671616,695360,583437,452794,469189,519368,546213,533929,594254,623733,623491,621214,684873,703339,688648,669651,707427,703042,693239,652331,697566,709488,700597,673637,733444,739806,729678,664293,707777,710557,688927,637029,682207,700539,700507,679096,729062,739693,763564,733502,781641,800944,804970,740454,793786,798665,772766,705495,612528,722250,773565,758909,838564,885930,935469,942380,1032979,1026104,982704,926524,968246,982551,979387,945865,1025670,1071345
11,"    Goods",286144,303657,319534,322387,300650,292324,283528,277198,262394,294091,305383,311413,299772,313872,322028,336417,336169,369171,381497,401512,385655,418445,434927,456794,438804,472860,490558,475972,458387,491683,508147,528131,514531,565109,583417,478230,357442,366969,413437,442177,433729,484042,508162,513017,516639,567051,581533,574662,559727,586504,580397,577121,543785,578408,589000,583054,558517,607698,613665,605600,548498,580320,581381,563051,517113,551286,566960,571836,553300,588396,591959,622691,602325,637290,655055,660992,601552,640678,645175,624953,572587,511101,612912,650126,639327,704242,732151,773323,783381,851518,837045,798337,754162,777759,789500,787089,763143,819404,858430
12,"    Services",49100,56283,60937,54608,53140,58570,58601,51727,53847,58794,61217,59622,57483,61126,68109,65622,65839,73022,77238,74510,72117,78925,82422,78762,80207,89013,91190,88919,87740,97572,102481,97671,96993,106507,111943,105207,95352,102219,105931,104036,100200,110211,115571,110474,104574,117822,121806,113986,109924,120923,122645,116118,108546,119158,120488,117543,115120,125747,126141,124079,115795,127457,129176,125876,119916,130921,133579,128671,125796,140666,147735,140873,131176,144351,145889,143979,138902,153108,153489,147813,132908,101427,109337,123439,119582,134322,153779,162146,159000,181460,189060,184367,172362,190487,193051,192298,182722,206266,212915
13,"  Primary income payments",83480,89871,89458,88171,82477,76592,75548,53503,66659,76460,77115,68652,77833,78614,81318,79913,84714,96155,97392,107995,111446,119602,122959,138101,144865,162506,171416,175157,180726,196771,192502,182582,186859,185952,173968,161446,134331,134686,130374,138293,132169,137527,140101,143513,142974,152370,150617,143078,145672,147225,150412,150445,152099,154394,153569,155979,154970,161653,163289,165711,154662,165625,167345,152092,158374,166650,169384,166390,169387,181283,189350,197481,195649,212800,217500,221741,218220,227225,224313,222153,198380,176172,194802,206934,214417,233370,241567,240156,249767,260367,270194,288137,309754,322149,338773,339016,351309,366972,361574
14,"    Investment income",80792,86879,86371,85066,79611,73479,72276,50254,63705,73237,73794,65334,74666,75258,77918,76480,81327,92396,93702,104288,107589,115401,118772,133939,140892,158197,167260,170952,176931,192608,188477,178455,182647,181659,169652,157053,130969,131086,126725,134996,129225,134078,136398,140083,139875,148815,146844,139564,142532,143482,146510,146922,148796,150485,149445,152105,151519,157551,158938,161668,151062,161416,162784,147769,154593,162246,164668,161975,165785,177042,184671,193050,191982,208544,212705,217235,214204,222559,219149,217090,194908,172948,190982,203020,210786,229029,236318,235102,244584,254348,263316,281430,304122,315470,331245,331740,345430,360059,353623
15,"    Compensation of employees",2688,2992,3087,3106,2866,3112,3273,3250,2954,3223,3321,3318,3167,3356,3400,3433,3387,3759,3690,3707,3857,4200,4187,4162,3973,4309,4157,4205,3795,4163,4025,4127,4212,4293,4316,4393,3362,3600,3649,3298,2944,3450,3704,3430,3098,3555,3772,3514,3141,3742,3901,3524,3303,3909,4124,3874,3451,4102,4351,4043,3600,4209,4561,4323,3781,4404,4716,4415,3602,4241,4679,4430,3666,4256,4795,4506,4016,4666,5164,5062,3472,3224,3821,3915,3631,4341,5249,5054,5183,6019,6878,6706,5632,6679,7528,7275,5878,6913,7951
16,"  Secondary income (current transfer) payments 1",19242,20310,20931,23925,23067,23937,25042,26317,26582,25428,25993,27965,28027,29264,29373,30667,32867,32068,32053,34792,36580,33779,35606,36266,32910,35492,35645,35348,40150,37341,40005,42596,44774,43937,45149,46879,45162,47028,48166,45297,46827,46842,48724,48356,52517,50680,50801,50866,49470,50092,51515,51121,51546,52600,55418,54340,54547,56236,57431,58713,57492,57368,60385,60501,62655,61440,64148,66082,63549,67188,70950,67445,62188,65541,66990,70391,72667,70509,71325,71908,72630,69424,75929,74458,75804,73130,84135,81091,82363,88915,101230,99482,93198,96058,99199,95705,94354,95617,112489
,Capital account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
