Line,,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted,Not seasonally adjusted
Line,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
,Current account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"  Portfolio investment liabilities",134402,70703,108863,127998,121347,97661,69079,143405,105962,159177,118453,120563,98883,192011,82599,176670,220812,223468,162890,260169,185008,160648,215051,271331,246292,264826,304112,311505,376689,393364,73339,313221,234853,222919,25970,39941,95940,71704,72049,117659,187308,131528,328881,172716,149211,105650,77147,-20383,249786,7887,222636,266708,150986,-8446,200041,169406,248795,92657,230481,125673,107435,243152,-146760,10083,-52859,4754,217765,61605,160102,259549,294391,76768,301122,-18368,12157,8164,-16702,145860,123979,-19669,29069,324300,170786,422405,393559,146867,200792,-127115,264368,384377,262003,-150364,349775,392385,261558,227358,395359,136161,637592
27,"  Other investment liabilities",56286,84192,56222,78284,150275,49868,-58636,42850,42778,64954,27953,70949,104857,31180,48151,60202,212671,75505,77145,154578,10303,153238,172337,-33204,254998,77215,165833,197234,300219,258817,110252,17571,132848,-309419,-16590,-209205,-212388,-139753,208621,-49268,88095,18408,121888,78179,374453,-54520,111740,-23276,-108816,-225140,30920,-62291,68636,155653,-105744,133403,126676,124458,27214,-118369,78214,-178425,39685,-161350,48779,179952,-104091,-123600,153101,94921,105683,33882,78737,-126090,-34172,275912,73930,46253,85479,77153,918715,-413829,-25691,58844,179694,172138,314027,219861,281307,-4595,136912,-47474,142042,-171842,138801,198223,81400,78338,-17551
28,"Financial derivatives other than reserves, net transactions 2",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1633,-14090,-15134,1147,-14795,1007,-5942,13508,7966,2355,4886,17740,-7146,-7561,-10645,-19464,-16152,-9980,11893,163,-2952,-9806,1617,-23865,7339,-2419,5129,-2985,-3948,-3302,6569,2903,6105,-4423,-24304,-31713,-40197,1701,722,10739,10782,608,3437,-7000,-5609,9306,18600,1701,29139,-15723,-11505,-22315,-21383,-9642,-6382,-4263,-25136,-11702,28425,3306,-2216,-7319,-6796,-22697,6102,-45911,-33940,-6949,-1727,-4741,1068,-10242,-2865,-70471,21195
,Statistical discrepancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Statistical discrepancy 3,53975,-42873,-43679,-39681,-13419,-23439,43788,-27050,6883,24483,-31553,-42547,-30273,69852,15558,-64905,26146,-5296,69572,7592,57597,97170,-26566,-93978,31361,6596,-8664,-30775,-62700,36905,112841,22719,-34820,24022,21451,-61012,75677,75624,78460,-83534,16213,88820,-97132,-15382,-100478,-2559,-27078,68465,-162750,91099,122022,-86732,37302,57370,-28836,-143419,-26035,13768,78840,11934,-37101,-33188,74433,25849,19548,104302,-78574,-4882,2324,1392,-31362,9631,33130,75448,138797,-106138,18387,-116020,867,-13382,-63657,81298,21770,-104566,-11891,6519,49552,1598,-871,143247,9882,-9084,-164075,136396,58484,-43232,50448,70306,-141024
29a,"  Of which: Seasonal adjustment discrepancy",.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....
,Balances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Balance on current account (line 1 less line 9) 4,-84582,-96101,-114961,-106274,-96459,-95126,-113956,-88542,-90446,-114319,-127721,-123624,-123413,-128393,-143198,-127285,-125763,-156346,-174152,-179628,-155177,-182096,-203332,-208627,-183712,-206888,-235074,-190972,-183935,-192345,-191124,-169146,-160406,-180278,-202885,-152953,-83677,-87628,-111198,-97226,-86832,-114042,-133304,-97832,-100116,-122626,-128343,-104217,-96194,-116799,-117852,-87336,-73402,-92852,-104068,-69195,-72050,-92523,-107509,-97974,-84864,-103115,-123306,-97168,-91923,-101919,-113605,-88769,-71122,-107374,-99827,-89293,-78891,-96831,-133695,-130432,-94989,-119257,-129815,-97691,-86181,-148681,-186042,-180297,-166055,-214080,-258505,-229340,-263226,-271508,-260169,-217194,-208381,-240410,-241435,-215150,-219851,-283453,-336811
31,"  Balance on goods and services (line 2 less line 10)",-78653,-87791,-105364,-97878,-87499,-86209,-98095,-88571,-81613,-102240,-118660,-118153,-113185,-121934,-135347,-125777,-124524,-149391,-168818,-168105,-151972,-172876,-196692,-195002,-176436,-193415,-215837,-177844,-162942,-179540,-190310,-178205,-164909,-188913,-212900,-145628,-84225,-85753,-117771,-107021,-102780,-134212,-150726,-115369,-118793,-145802,-154837,-135089,-125180,-141532,-144940,-114254,-98084,-118366,-131363,-99048,-101860,-127857,-136288,-117946,-108095,-123992,-138466,-120223,-109176,-121206,-130645,-118431,-111681,-133761,-139479,-132018,-122137,-134079,-163173,-159205,-124266,-149914,-161399,-123816,-113595,-155059,-197606,-187431,-171644,-204472,-245434,-226520,-245743,-255824,-242343,-200853,-178417,-208935,-208325,-189214,-180897,-230821,-260531
32,"    Balance on goods (line 3 less line 11)",-98067,-106480,-122979,-119257,-105010,-101196,-112854,-103309,-94783,-115201,-131991,-133270,-123997,-132070,-144581,-140996,-138599,-161704,-178850,-185612,-168933,-186622,-210488,-216762,-192606,-209698,-231447,-203538,-186083,-202454,-216362,-216298,-194721,-219771,-240710,-177290,-107858,-111736,-145937,-144164,-133980,-165995,-186771,-161926,-161396,-189474,-203399,-186730,-173842,-191030,-197751,-178496,-156941,-177554,-197057,-168986,-162582,-193361,-205347,-188627,-173730,-190161,-207381,-190596,-169161,-186330,-202338,-191972,-178195,-201632,-207679,-211836,-196940,-204997,-238759,-238054,-190850,-222312,-236304,-207794,-177204,-219913,-259017,-256741,-233068,-264679,-294979,-290464,-300153,-309969,-295574,-274246,-242444,-273459,-277772,-269613,-251603,-296307,-332673
33,"    Balance on services (line 4 less line 12)",19413,18688,17615,21379,17511,14988,14759,14738,13170,12961,13331,15117,10812,10136,9234,15219,14075,12313,10033,17507,16961,13746,13795,21760,16170,16282,15610,25695,23141,22914,26053,38092,29812,30858,27810,31662,23633,25982,28165,37142,31199,31784,36045,46557,42602,43672,48562,51641,48662,49497,52811,64242,58858,59188,65694,69938,60722,65503,69059,70680,65635,66168,68915,70373,59985,65125,71693,73541,66514,67871,68200,79818,74803,70917,75586,78848,66584,72398,74905,83978,63609,64854,61411,69311,61424,60207,49545,63944,54410,54145,53231,73393,64027,64525,69447,80399,70707,65486,72141
34,"  Balance on primary income (line 5 less line 13)",3932,3029,1950,5720,4305,4892,-1238,15285,5812,477,3167,8049,3739,6781,5516,13218,16836,10765,12134,6847,14332,10727,12807,6320,6906,4864,480,3725,3701,7888,20915,31853,30598,32323,34576,14522,23283,23499,34660,34097,41634,43509,43083,41685,47475,48729,51453,54774,52852,47893,49378,47735,45345,48369,51308,50437,50545,48233,54781,46676,47803,43475,43546,50382,45769,45758,45919,58996,60689,56480,67082,73691,70600,65714,57666,61295,64013,62759,61749,58879,58809,34987,44633,39288,37235,20566,27378,33879,20841,27966,38094,29058,16187,14892,18457,17493,5517,-7180,-13894
35,"  Balance on secondary income (line 8 less line 16)",-9861,-11339,-11547,-14116,-13265,-13809,-14622,-15256,-14645,-12556,-12228,-13520,-13967,-13240,-13367,-14725,-18075,-17720,-17469,-18370,-17537,-19947,-19446,-19946,-14182,-18336,-19716,-16853,-24694,-20693,-21730,-22794,-26095,-23689,-24561,-21847,-22735,-25373,-28087,-24301,-25685,-23339,-25662,-24147,-28798,-25553,-24959,-23902,-23867,-23159,-22290,-20817,-20663,-22854,-24014,-20584,-20736,-12899,-26002,-26703,-24572,-22598,-28385,-27327,-28516,-26471,-28879,-29333,-20130,-30093,-27429,-30966,-27355,-28466,-28188,-32522,-34736,-32102,-30165,-32753,-31395,-28609,-33068,-32154,-31646,-30174,-40449,-36699,-38324,-43650,-55921,-45400,-46151,-46367,-51567,-43429,-44471,-45452,-62385
36,Balance on capital account (line 17 less line 18) 4,-502,-355,-811,-2550,-90,-126,12850,-465,-2146,-346,-371,-962,-1910,-2891,-2408,-1290,-2883,-1118,1801,-2143,-6133,-1931,12984,-3970,-2515,-1845,-1428,-1651,-3074,-327,-930,-1726,-2864,-896,5150,-1562,-951,-2311,-1359,-1255,-3168,-1076,-1171,-1476,-1695,-4093,-1534,-1699,-2047,-1794,-1525,6297,-1671,-1882,-1462,-1544,-2361,-1298,-1220,-1655,-2999,-1266,-2184,-1490,-2236,-1078,-1352,-1940,-2116,-1999,18213,-1703,-1347,-2937,-449,472,-2733,-866,-899,-1957,-2907,-987,-592,-1123,-2343,-649,3231,-1662,-1367,-2462,6272,-2624,-2520,-1061,-994,-1745,-1813,-1472,-1656
37,Net lending (+) or net borrowing (-) from current- and capital-account transactions (line 30 plus line 36) 5,-85084,-96456,-115772,-108824,-96549,-95252,-101106,-89007,-92591,-114665,-128092,-124586,-125323,-131284,-145606,-128575,-128647,-157464,-172352,-181771,-161310,-184027,-190348,-212598,-186228,-208732,-236502,-192623,-187009,-192672,-192054,-170871,-163271,-181174,-197735,-154515,-84628,-89939,-112558,-98481,-90000,-115118,-134475,-99307,-101810,-126719,-129877,-105916,-98241,-118592,-119377,-81040,-75072,-94733,-105530,-70739,-74412,-93821,-108729,-99629,-87863,-104381,-125490,-98658,-94159,-102997,-114957,-90709,-73239,-109373,-81613,-90996,-80239,-99767,-134144,-129960,-97722,-120122,-130714,-99648,-89088,-149669,-186634,-181420,-168398,-214729,-255274,-231002,-264593,-273970,-253898,-219818,-210901,-241471,-242429,-216895,-221663,-284925,-338468
38,Net lending (+) or net borrowing (-) from financial-account transactions (line 19 less line 24 plus line 28) 5,-31109,-139329,-159451,-148504,-109968,-118690,-57317,-116056,-85708,-90183,-159645,-167133,-155597,-61431,-130048,-193480,-102501,-162760,-102780,-174179,-103713,-86857,-216914,-306576,-154866,-202137,-245166,-223398,-249709,-155767,-79213,-148152,-198090,-157153,-176284,-215527,-8950,-14315,-34098,-182015,-73787,-26298,-231607,-114689,-202288,-129278,-156954,-37452,-260991,-27493,2645,-167772,-37771,-37363,-134366,-214158,-100446,-80053,-29889,-87695,-124964,-137569,-51057,-72810,-74610,1305,-193531,-95591,-70915,-107982,-112976,-81365,-47108,-24319,4653,-236098,-79335,-236143,-129848,-113030,-152745,-68370,-164864,-285986,-180288,-208210,-205723,-229404,-265464,-130723,-244016,-228902,-374976,-105075,-183945,-260127,-171216,-214618,-479492

Legend/Footnotes
0 Transactions are possible but are zero for a given period.
"(*) Transactions between zero and +/- $500,000."
(D) Suppressed to avoid the disclosure of data of individual companies.
"n.a. Transactions are possible, but data are not available."
"..... Not applicable, or for data periods 1960-1997, transactions that are 0, not available, or not applicable."
Quarterly estimates are not annualized and are expressed at quarterly rates.
"1. Secondary income (current transfer) receipts and payments include U.S. government and private transfers, such as U.S. government grants and pensions, fines and penalties, withholding taxes, personal transfers (remittances), insurance-related transfers, and other current transfers."
"2. Transactions for financial derivatives are only available as a net value equal to transactions for assets less transactions for liabilities.  A positive value represents net U.S. cash payments arising from derivatives contracts, and a negative value represents net U.S. cash receipts."
"3. The statistical discrepancy, which can be calculated as line 38 less line 37, is the difference between total debits and total credits recorded in the current, capital, and financial accounts.  In the current and capital accounts, credits and debits are labeled in the table.  In the financial account, an acquisition of an asset or a repayment of a liability is a debit, and an incurrence of a liability or a disposal of an asset is a credit."
"4. Current- and capital-account statistics in the International Transactions Accounts differ slightly from statistics in the National Income and Product Accounts (NIPAs) because of adjustments made to convert the international transactions statistics to national economic accounting concepts.  A reconciliation between annual statistics in the two sets of accounts appears in table 4.3C of the <a href=""https://apps.bea.gov/iTable/?reqid=19&amp;step=3&amp;isuri=1&amp;nipa_table_list=415&amp;categories=survey"">NIPA Interactive Data Application</a>."
"5. Net lending means that U.S. residents are net suppliers of funds to foreign residents, and net borrowing means the opposite.  Net lending or net borrowing can be computed from current- and capital-account transactions or from financial-account transactions.  The two amounts differ by the statistical discrepancy."
