Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: December 19, 2024 - Next Release Date January 30, 2025"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
9,"        Nonresidential",1568.3,1603.8,1643.1,1668.7,1735.3,1774.4,1815.9,1849.5,1892.0,1937.7,1967.4,1997.1,2013.7,2024.0,2007.0,1918.7,1761.4,1685.0,1656.0,1659.3,1660.0,1715.7,1762.4,1801.9,1805.1,1862.0,1953.8,2009.0,2073.4,2126.2,2126.0,2148.6,2175.3,2188.6,2230.8,2290.5,2335.5,2407.2,2465.6,2492.3,2497.2,2510.5,2521.9,2500.4,2488.8,2511.6,2543.7,2571.8,2603.1,2640.2,2668.9,2732.2,2810.3,2846.5,2870.4,2898.7,2932.4,3000.8,3031.1,3010.3,2961.1,2734.5,2852.2,2934.1,3000.2,3067.3,3085.9,3162.9,3319.5,3443.8,3564.0,3643.9,3742.3,3833.7,3848.8,3901.5,3957.8,4018.5,4089.4
10,"            Structures",337.5,345.0,355.8,373.6,397.6,420.1,435.8,447.2,469.6,498.1,526.7,546.8,556.9,571.9,578.8,576.8,527.7,473.1,429.5,392.9,368.8,382.1,379.1,389.2,362.2,392.7,421.2,441.8,470.1,488.1,484.7,474.9,463.6,479.2,505.5,517.6,545.0,572.2,582.4,598.8,592.5,598.0,584.1,563.6,541.4,557.0,578.5,587.9,592.3,598.6,589.8,598.9,633.0,638.4,642.0,633.2,642.2,670.6,702.5,696.1,692.6,609.3,598.1,598.9,612.6,622.7,630.1,647.9,691.2,735.4,781.7,816.1,857.6,888.7,884.1,905.8,914.9,916.0,908.6
11,"            Equipment",768.6,786.9,808.3,815.8,850.2,857.6,867.4,873.9,886.3,897.8,896.0,893.6,885.4,871.8,852.1,772.2,683.5,652.2,662.0,683.3,719.8,763.7,804.5,820.1,839.8,854.3,904.5,926.5,957.8,984.4,984.3,1007.1,1026.2,1025.1,1026.2,1063.5,1072.3,1101.4,1134.1,1128.5,1139.2,1141.6,1155.6,1140.0,1132.5,1116.9,1113.0,1116.8,1126.3,1147.2,1165.6,1200.6,1220.5,1222.0,1227.1,1240.8,1249.8,1263.1,1241.7,1208.9,1143.6,1015.1,1120.5,1158.8,1180.8,1196.7,1178.6,1198.4,1267.9,1298.8,1340.4,1363.6,1390.1,1432.1,1437.2,1443.9,1458.8,1499.7,1548.1
12,"            Intellectual property products",462.2,472.0,479.1,479.3,487.6,496.7,512.7,528.4,536.2,541.8,544.7,556.7,571.4,580.3,576.1,569.8,550.1,559.7,564.5,583.1,571.4,570.0,578.8,592.5,603.1,615.1,628.1,640.7,645.4,653.7,657.0,666.6,685.5,684.4,699.1,709.4,718.2,733.6,749.0,765.0,765.5,771.0,782.2,796.9,814.9,837.8,852.2,867.1,884.6,894.4,913.4,932.6,956.8,986.1,1001.3,1024.7,1040.4,1067.0,1086.9,1105.3,1125.0,1110.0,1133.6,1176.4,1206.9,1247.9,1277.2,1316.7,1360.3,1409.6,1441.8,1464.2,1494.6,1512.9,1527.4,1551.7,1584.1,1602.7,1632.8
13,"        Residential",815.3,843.8,875.6,890.2,896.2,859.3,814.7,782.4,750.9,719.3,673.7,618.2,566.7,538.8,507.1,451.4,404.5,374.7,389.4,391.5,379.4,396.3,361.2,369.3,368.8,374.3,381.1,391.2,414.1,419.3,433.7,460.9,485.9,508.9,524.9,526.4,535.3,554.1,572.5,594.2,609.9,629.3,654.9,669.3,693.2,704.3,712.6,731.0,753.6,767.2,776.4,798.3,800.3,819.6,819.7,808.0,803.4,820.0,838.2,846.8,879.9,818.2,950.2,1034.2,1086.5,1114.9,1145.1,1183.5,1220.4,1225.8,1163.9,1105.1,1084.0,1091.9,1125.3,1144.7,1180.7,1182.6,1179.7
14,"    Change in private inventories",102.5,28.8,12.4,86.4,78.2,75.5,78.8,43.5,21.4,42.2,44.9,27.3,-16.7,-22.3,-15.8,-62.2,-151.0,-196.0,-204.0,-52.1,-1.2,36.7,112.9,67.3,32.1,61.0,-12.0,104.0,80.3,91.4,84.4,28.7,85.2,82.7,136.6,117.3,52.0,97.8,103.9,85.5,175.2,151.2,126.9,107.2,62.3,30.5,5.3,58.1,6.3,25.5,54.9,44.0,35.0,-3.4,98.7,95.3,114.9,83.2,70.2,23.5,-39.0,-282.3,99.0,78.1,-41.2,-164.6,1.8,252.8,244.9,117.0,73.8,162.9,20.9,0.0,89.2,56.7,21.4,96.8,76.0
15,Net exports of goods and services,-696.7,-707.2,-751.0,-804.8,-790.8,-794.0,-823.3,-737.7,-739.3,-745.8,-729.0,-729.7,-771.2,-776.4,-787.4,-628.5,-421.0,-358.4,-424.0,-473.3,-509.2,-542.5,-553.9,-523.6,-568.5,-581.1,-567.1,-601.8,-602.3,-565.2,-523.1,-515.9,-499.3,-498.4,-482.1,-434.0,-510.1,-505.4,-489.4,-530.8,-526.4,-509.5,-538.1,-523.2,-511.7,-489.4,-481.2,-530.8,-533.4,-553.5,-531.5,-554.9,-576.0,-543.8,-618.2,-634.2,-592.3,-618.0,-585.5,-513.4,-513.6,-536.5,-696.4,-758.3,-795.8,-835.1,-888.7,-920.6,-1077.0,-1022.1,-885.9,-850.7,-813.6,-803.5,-781.1,-791.2,-841.6,-906.9,-943.7
16,"    Exports",1258.4,1294.9,1302.3,1350.7,1414.0,1459.8,1475.4,1531.5,1578.0,1622.8,1685.7,1750.7,1813.3,1905.3,1922.2,1700.3,1511.8,1521.1,1594.7,1703.5,1759.9,1819.7,1877.3,1972.1,2040.4,2116.1,2156.8,2150.1,2190.0,2215.6,2227.7,2237.5,2255.9,2261.4,2285.1,2349.2,2343.6,2395.2,2399.2,2376.2,2299.0,2300.4,2260.7,2222.3,2182.0,2221.9,2270.0,2268.3,2339.7,2349.7,2384.5,2479.1,2517.3,2562.2,2535.5,2537.4,2540.2,2547.4,2532.4,2537.5,2416.2,1814.4,2105.1,2268.9,2381.2,2505.0,2570.1,2765.4,2848.7,3071.6,3102.6,3046.7,3060.6,2995.5,3062.0,3091.7,3125.4,3154.3,3220.3
17,"        Goods",883.7,917.3,921.4,955.0,1002.8,1034.4,1051.9,1083.2,1105.5,1136.4,1176.0,1221.0,1273.7,1351.5,1371.2,1167.7,1004.7,1004.5,1067.1,1153.3,1200.2,1250.4,1283.0,1358.0,1415.2,1468.8,1489.6,1500.2,1515.4,1533.4,1541.4,1528.2,1541.1,1547.7,1556.7,1610.0,1593.8,1630.2,1635.8,1608.1,1524.4,1526.4,1487.8,1448.1,1414.3,1434.0,1466.7,1475.4,1519.6,1513.3,1537.7,1616.0,1639.2,1699.2,1667.7,1671.1,1663.3,1641.4,1636.7,1637.6,1597.2,1139.8,1415.6,1533.9,1621.8,1717.7,1752.8,1896.6,1949.3,2121.5,2140.5,2049.1,2059.6,1968.1,2025.7,2034.3,2037.0,2053.4,2088.3
18,"        Services",374.7,377.6,380.9,395.8,411.2,425.3,423.5,448.3,472.5,486.3,509.7,529.7,539.6,553.8,551.1,532.6,507.1,516.6,527.6,550.2,559.7,569.3,594.2,614.1,625.2,647.3,667.2,649.9,674.6,682.1,686.4,709.3,714.8,713.7,728.4,739.3,749.8,765.0,763.4,768.1,774.7,774.0,772.9,774.2,767.7,787.9,803.3,793.0,820.1,836.4,846.9,863.1,878.0,863.0,867.8,866.3,876.9,906.1,895.7,899.9,818.9,674.6,689.5,735.0,759.4,787.3,817.4,868.7,899.4,950.1,962.0,997.6,1001.0,1027.4,1036.3,1057.4,1088.4,1100.9,1132.0
19,"    Imports",1955.1,2002.1,2053.3,2155.5,2204.8,2253.8,2298.7,2269.2,2317.3,2368.6,2414.7,2480.4,2584.6,2681.7,2709.6,2328.8,1932.8,1879.5,2018.7,2176.8,2269.1,2362.3,2431.2,2495.7,2608.9,2697.2,2723.9,2751.9,2792.3,2780.8,2750.8,2753.4,2755.3,2759.8,2767.2,2783.3,2853.7,2900.6,2888.5,2907.0,2825.5,2810.0,2798.8,2745.5,2693.6,2711.3,2751.2,2799.1,2873.1,2903.2,2916.0,3034.0,3093.3,3106.0,3153.7,3171.6,3132.5,3165.4,3118.0,3050.8,2929.8,2350.9,2801.5,3027.2,3177.0,3340.1,3458.8,3686.0,3925.7,4093.7,3988.4,3897.4,3874.2,3799.0,3843.1,3882.9,3967.0,4061.2,4164.0
20,"        Goods",1642.4,1687.5,1733.1,1828.1,1857.7,1899.9,1944.0,1900.9,1938.2,1980.2,2015.1,2077.5,2165.5,2258.7,2274.7,1895.8,1523.0,1473.6,1606.6,1749.3,1838.0,1925.8,1982.3,2042.1,2159.8,2231.5,2249.9,2283.3,2319.5,2304.2,2273.1,2276.2,2289.2,2290.1,2295.6,2300.7,2360.8,2405.7,2392.7,2398.1,2330.1,2309.1,2290.9,2228.3,2179.8,2193.6,2224.6,2276.7,2333.0,2347.6,2338.4,2460.6,2526.7,2538.0,2584.8,2586.7,2533.7,2561.0,2519.0,2453.0,2376.7,1939.2,2360.5,2544.0,2675.8,2798.5,2844.2,3039.9,3253.6,3374.3,3245.4,3154.9,3135.8,3051.5,3090.8,3106.5,3170.1,3252.8,3331.8
21,"        Services",312.7,314.6,320.2,327.4,347.1,353.9,354.7,368.3,379.1,388.4,399.6,402.9,419.1,423.0,434.9,433.0,409.8,405.8,412.2,427.5,431.0,436.5,448.9,453.6,449.0,465.7,474.0,468.7,472.8,476.6,477.7,477.2,466.1,469.6,471.6,482.6,492.9,494.9,495.8,508.9,495.4,500.9,507.9,517.3,513.9,517.7,526.6,522.4,540.2,555.6,577.6,573.4,566.6,568.0,569.0,584.9,598.8,604.4,598.9,597.9,553.1,411.8,441.0,483.2,501.2,541.6,614.6,646.1,672.2,719.4,743.1,742.5,738.5,747.5,752.4,776.4,796.9,808.4,832.2
22,Government consumption expenditures and gross investment,2426.1,2452.2,2494.4,2528.4,2580.1,2610.6,2630.3,2674.5,2718.5,2770.0,2808.7,2865.1,2909.6,2971.6,3029.0,3021.8,3022.0,3070.5,3092.1,3120.8,3133.8,3165.8,3158.3,3164.3,3155.8,3168.3,3136.9,3130.8,3144.0,3130.4,3139.1,3132.3,3123.5,3131.1,3135.2,3140.5,3139.1,3154.4,3191.7,3189.3,3187.9,3234.1,3253.6,3258.1,3270.1,3289.6,3315.2,3337.2,3353.1,3370.4,3398.9,3466.1,3513.9,3570.7,3626.1,3650.8,3702.9,3761.2,3814.8,3865.0,3943.0,4026.0,4001.6,4028.0,4147.6,4170.0,4214.0,4282.3,4332.6,4437.6,4480.1,4564.8,4624.6,4645.9,4756.4,4815.2,4881.0,4943.0,5035.0
23,"    Federal",931.8,939.3,956.4,963.7,997.1,997.2,995.4,1015.1,1017.5,1042.5,1058.8,1085.3,1111.2,1146.6,1170.2,1179.8,1185.2,1213.5,1228.3,1256.2,1278.4,1305.0,1304.3,1312.9,1306.0,1312.7,1288.7,1291.7,1296.1,1288.6,1293.8,1269.6,1240.1,1232.6,1219.6,1217.3,1212.9,1211.0,1230.6,1213.7,1216.2,1222.4,1222.4,1230.1,1229.6,1230.0,1241.3,1248.5,1249.1,1259.9,1264.6,1290.7,1316.2,1334.7,1358.9,1375.4,1403.2,1408.0,1426.9,1439.9,1459.3,1567.7,1526.5,1538.6,1613.4,1597.4,1585.0,1616.9,1606.5,1622.1,1641.4,1694.2,1731.6,1741.8,1780.9,1796.2,1810.3,1842.2,1893.4
24,"        National defense",598.4,606.0,616.4,617.0,635.7,640.0,632.4,655.2,654.6,674.1,684.4,703.9,721.2,742.2,766.3,771.6,765.4,782.9,792.8,809.1,817.5,828.0,828.9,837.4,831.6,843.0,835.0,826.3,824.1,816.0,820.2,796.4,774.7,770.6,757.7,754.4,745.0,742.4,755.0,733.8,730.2,733.5,726.7,731.0,726.5,723.2,733.1,734.9,735.2,747.5,747.2,763.2,773.1,785.8,802.5,818.9,838.8,840.3,855.0,863.9,871.3,874.3,880.2,914.0,905.0,909.1,908.8,911.7,903.7,928.8,930.8,956.9,976.9,989.4,1016.6,1025.4,1028.4,1051.5,1091.3
25,"        Nondefense",333.4,333.3,340.0,346.7,361.3,357.2,363.1,359.9,362.9,368.4,374.4,381.3,390.0,404.4,404.0,408.2,419.8,430.6,435.5,447.1,460.9,477.0,475.4,475.4,474.4,469.7,453.7,465.4,472.0,472.6,473.6,473.2,465.4,462.0,462.0,462.9,468.0,468.6,475.6,480.0,486.0,488.8,495.7,499.1,503.1,506.8,508.2,513.6,513.8,512.4,517.4,527.5,543.0,549.0,556.5,556.4,564.4,567.8,571.9,576.0,587.9,693.5,646.3,624.6,708.4,688.3,676.2,705.2,702.8,693.3,710.6,737.3,754.7,752.4,764.3,770.8,781.9,790.7,802.1
26,"    State and local",1494.3,1513.0,1538.0,1564.8,1583.0,1613.4,1634.8,1659.4,1700.9,1727.5,1749.9,1779.8,1798.5,1825.0,1858.8,1842.0,1836.8,1857.0,1863.8,1864.6,1855.5,1860.7,1854.0,1851.4,1849.8,1855.5,1848.3,1839.1,1847.9,1841.8,1845.3,1862.7,1883.4,1898.6,1915.6,1923.3,1926.1,1943.4,1961.1,1975.5,1971.7,2011.7,2031.2,2028.1,2040.5,2059.6,2073.9,2088.8,2104.0,2110.6,2134.3,2175.4,2197.7,2236.0,2267.2,2275.5,2299.8,2353.2,2388.0,2425.1,2483.7,2458.2,2475.1,2489.4,2534.2,2572.6,2629.0,2665.4,2726.1,2815.5,2838.7,2870.6,2893.0,2904.1,2975.5,3019.0,3070.7,3100.9,3141.6
