Date,Price,Open,High,Low,Change %
12/29/2024,108.95,108.01,109.53,107.74,0.88%
12/22/2024,108,107.82,108.3,107.68,0.35%
12/15/2024,107.62,106.94,108.54,106.7,0.58%
12/08/2024,107,105.97,107.19,105.8,0.89%
12/01/2024,106.06,105.83,106.73,105.42,0.30%
11/24/2024,105.74,107.49,107.5,105.61,-1.68%
11/17/2024,107.55,106.67,108.07,106.11,0.81%
11/10/2024,106.69,104.95,107.06,104.93,1.61%
11/03/2024,105,104.32,105.44,103.37,0.69%
10/27/2024,104.28,104.32,104.64,103.68,0.02%
10/20/2024,104.26,103.46,104.57,103.42,0.74%
10/13/2024,103.49,102.92,103.87,102.93,0.58%
10/06/2024,102.89,102.49,103.18,102.29,0.36%
09/29/2024,102.52,100.42,102.69,100.18,2.13%
09/22/2024,100.38,100.74,101.23,100.16,-0.34%
09/15/2024,100.72,101.03,101.47,100.22,-0.39%
09/08/2024,101.11,101.19,101.84,100.88,-0.08%
09/01/2024,101.19,101.73,101.92,100.59,-0.54%
08/25/2024,101.73,100.68,101.78,100.51,1.05%
08/18/2024,100.68,102.4,102.48,100.6,-1.68%
08/11/2024,102.4,103.15,103.31,102.27,-0.71%
08/04/2024,103.14,103.22,103.54,102.16,-0.07%
07/28/2024,103.21,104.33,104.8,103.13,-1.06%
07/21/2024,104.32,104.36,104.56,104.08,-0.08%
07/14/2024,104.4,104.08,104.51,103.65,0.29%
07/07/2024,104.09,104.88,105.21,104.04,-0.75%
06/30/2024,104.88,105.85,106.05,104.82,-0.94%
06/23/2024,105.87,105.83,106.13,105.37,0.07%
06/16/2024,105.8,105.51,105.92,105.13,0.23%
06/09/2024,105.55,104.93,105.81,104.26,0.63%
06/02/2024,104.89,104.63,104.95,103.99,0.20%
05/26/2024,104.67,104.75,105.18,104.33,-0.05%
05/19/2024,104.72,104.5,105.12,104.39,0.27%
05/12/2024,104.44,105.31,105.46,104.08,-0.81%
05/05/2024,105.3,105.08,105.74,104.87,0.26%
04/28/2024,105.03,106.09,106.49,104.52,-0.86%
04/21/2024,105.94,106.12,106.39,105.41,-0.20%
04/14/2024,106.15,106.01,106.52,105.74,0.11%
04/07/2024,106.04,104.29,106.11,103.88,1.67%
03/31/2024,104.3,104.49,105.1,103.92,-0.24%
03/24/2024,104.55,104.43,104.73,104.01,0.07%
03/17/2024,104.47,103.45,104.5,103.17,1.01%
