"Date","Price","Open","High","Low","Vol.","Change.."
2007-03-11,652.9,"649.25","655.6","637","","0.40%"
2007-03-18,657.1,"653.2","667.1","652.1","","0.64%"
2007-03-25,663.6,"657.75","670","655.3","","0.99%"
2007-04-01,674.5,"665.7","676.3","656.7","","1.64%"
2007-04-08,685.6,"674.25","686.3","669.75","","1.65%"
2007-04-15,691.35,"686.25","693.85","678.95","","0.84%"
2007-04-22,680.95,"693.25","693.85","670.95","","-1.50%"
2007-04-29,688.75,"681.95","691.4","668.05","","1.15%"
2007-05-06,671.05,"688.55","691.55","664.75","","-2.57%"
2007-05-13,661.65,"672.05","675.5","654.15","","-1.40%"
2007-05-20,656.15,"662.75","665.75","652.05","","-0.83%"
2007-05-27,671.45,"655.9","672.7","652.35","","2.33%"
2007-06-03,648.55,"671.55","674.7","645.15","","-3.41%"
2007-06-10,655.75,"649.35","656.2","643.65","","1.11%"
2007-06-17,654.35,"655.65","662.15","648.25","","-0.21%"
2007-06-24,649.65,"654.65","655.35","639.65","","-0.72%"
2007-07-01,655.9,"651.15","659.2","645.4","","0.96%"
2007-07-08,667.3,"656.4","669.45","653.8","","1.74%"
2007-07-15,683.7,"666.4","686.4","662.4","","2.46%"
2007-07-22,661.4,"684.1","687.5","657.3","","-3.26%"
2007-07-29,673.3,"661.1","674.6","659.4","","1.80%"
2007-08-05,672.8,"673","677","658.5","","-0.07%"
2007-08-12,657.2,"672.3","673","641.4","","-2.32%"
2007-08-19,668.4,"656.6","669.5","653.6","","1.70%"
2007-08-26,673,"668.9","674.7","661.8","","0.69%"
2007-09-02,700.8,"673.3","707.4","671.3","","4.13%"
2007-09-09,707.1,"700.4","717.4","699.3","","0.90%"
2007-09-16,731.2,"706.7","739.4","706.4","","3.41%"
2007-09-23,744.1,"729.6","745.9","722.7","","1.76%"
2007-09-30,742.7,"744.2","748.05","721.1","","-0.19%"
2007-10-07,749.6,"741.65","754","727.15","","0.93%"
2007-10-14,765.2,"749.3","770.4","747.8","","2.08%"
2007-10-21,785.4,"766.7","786.1","745.9","","2.64%"
2007-10-28,807.5,"784.8","808.1","777.1","","2.81%"
2007-11-04,831.7,"807.4","845.8","801.3","","3.00%"
2007-11-11,787.3,"830.9","831","782.75","","-5.34%"
2007-11-18,823.4,"786.5","826.1","773","","4.59%"
2007-11-25,782.9,"821.4","837.1","779.1","","-4.92%"
2007-12-02,795.6,"783.1","807.1","777.4","","1.62%"
2007-12-09,794.9,"794.8","817.4","788","","-0.09%"
2007-12-16,810.8,"793.8","812.6","785.4","","2.00%"
2007-12-23,839,"811.7","840.2","804.15","","3.48%"
2007-12-30,861.5,"839.5","869.45","832.1","","2.68%"
2008-01-06,895.75,"860.75","898.35","855.55","","3.98%"
2008-01-13,884.55,"897.95","914.35","870.45","","-1.25%"
2008-01-20,913.5,"881.75","923.9","850","","3.27%"
2008-01-27,910.38,"915.62","936.88","905.08","","-0.34%"
2008-02-03,918.35,"906.1","920.45","885.65","","0.88%"
2008-02-10,902.7,"921.4","927.3","896.5","","-1.70%"
2008-02-17,945.5,"903.2","954","900.5","","4.74%"
2008-02-24,972.48,"945.98","976.27","926.77","","2.85%"
2008-03-02,973.4,"973.4","992.3","959.85","","0.09%"
2008-03-09,993.2,"973.4","1,007.50","961.4","","2.03%"
2008-03-16,919.5,"1,002.90","1,031.20","905.05","","-7.42%"
2008-03-23,930.4,"915.6","954.9","906.4","","1.19%"
2008-03-30,913.3,"931.6","941.2","873.3","","-1.84%"
2008-04-06,925.3,"912.7","939.8","903.2","","1.31%"
2008-04-13,916.4,"919.6","953","904.75","","-0.96%"
2008-04-20,886.15,"919.5","929.5","878.6","","-3.30%"
2008-04-27,856.45,"888.5","896.8","846","","-3.35%"
2008-05-04,884.9,"858.8","890.8","858.55","","3.32%"
2008-05-11,902.3,"884.2","905.7","860.3","","1.97%"
2008-05-18,925.2,"904","936.3","901.55","","2.54%"
2008-05-25,886.9,"925.4","931.5","871","","-4.14%"
2008-06-01,902.35,"887.75","902.45","865.45","","1.74%"
2008-06-08,871.2,"902.85","909.7","857.8","","-3.45%"
2008-06-15,901.85,"869.85","908.9","867.5","","3.52%"
2008-06-22,927.85,"901.95","931.1","874.2","","2.88%"
2008-06-29,933.3,"929.2","947.5","919","","0.59%"
2008-07-06,964.7,"933.35","968.6","913.5","","3.36%"
2008-07-13,955.3,"966.05","988.75","950.5","","-0.97%"
2008-07-20,929.7,"956.25","976.95","916.8","","-2.68%"
2008-07-27,910.55,"929.3","934","894.5","","-2.06%"
2008-08-03,856.35,"910.45","916.2","851.5","","-5.95%"
2008-08-10,786.5,"856.85","866.5","774.9","","-8.16%"
2008-08-17,823.1,"793.75","840","783.05","","4.65%"
2008-08-24,830.8,"825.85","845","807.7","","0.94%"
2008-08-31,803.8,"835.5","836.3","790.05","","-3.25%"
2008-09-07,764.45,"806","819","737","","-4.90%"
2008-09-14,873.15,"767","904.6","766.4","","14.22%"
2008-09-21,879.9,"873.15","912.65","862.9","","0.77%"
2008-09-28,836.8,"883","922","820.7","","-4.90%"
2008-10-05,851.4,"836","935","827.5","","1.74%"
2008-10-12,783.7,"851.4","873","773.3","","-7.95%"
2008-10-19,735.3,"782.9","810.2","682.8","","-6.18%"
2008-10-26,725.05,"735.35","778.3","708.1","","-1.39%"
2008-11-02,737.45,"724.35","769.5","722.55","","1.71%"
2008-11-09,742.55,"736.3","769.3","701.75","","0.69%"
2008-11-16,800,"743.35","802.2","727.5","","7.74%"
2008-11-23,817.5,"802.45","832.1","787.45","","2.19%"
2008-11-30,757.4,"816.5","819.75","741.9","","-7.35%"
2008-12-07,821.95,"755.3","835.3","754.15","","8.52%"
2008-12-14,838.35,"822.05","882.7","822.05","","2.00%"
2008-12-21,869.65,"839.25","871.6","830.7","","3.73%"
2008-12-28,876.55,"868.8","891.05","856.75","","0.79%"
2009-01-04,853.45,"878","884.55","834","","-2.64%"
2009-01-11,843.35,"854.75","857.6","803.15","","-1.18%"
2009-01-18,899.4,"843.5","903.5","823.9","","6.65%"
2009-01-25,927.75,"898.9","931.4","869.1","","3.15%"
2009-02-01,911.55,"927.95","929.2","888","","-1.75%"
2009-02-08,942.1,"910.65","952.8","891.2","","3.35%"
2009-02-15,993.3,"941.7","1,006.40","936.45","","5.43%"
2009-02-22,945.15,"993.5","998.35","927.75","","-4.85%"
2009-03-01,937.35,"939.8","958.8","901.75","","-0.83%"
2009-03-08,928.2,"939.5","942.75","891.3","","-0.98%"
2009-03-15,952.85,"929.55","968.7","884.9","","2.66%"
2009-03-22,923.05,"951.85","959","918.1","","-3.13%"
2009-03-29,893.9,"925.4","934.35","892","","-3.16%"
2009-04-05,881.65,"894.85","896.8","865.3","","-1.37%"
2009-04-12,868.9,"881.65","900.35","865","","-1.45%"
2009-04-19,913.1,"869.05","914.5","865.5","","5.09%"
2009-04-26,887.3,"913.6","919.75","881.05","","-2.83%"
2009-05-03,917.05,"887.3","926.15","885.05","","3.35%"
2009-05-10,931.7,"916.65","934.65","909","","1.60%"
2009-05-17,957.35,"930.6","962.3","916.05","","2.75%"
2009-05-24,980,"957","981","941.1","","2.37%"
2009-05-31,956.3,"979.6","990.8","953.5","","-2.42%"
2009-06-07,938.9,"955.65","966.25","937","","-1.82%"
2009-06-14,934.3,"939.5","943.7","926.5","","-0.49%"
2009-06-21,939.05,"933.45","948.7","913.4","","0.51%"
2009-06-28,932.5,"940.6","947.25","923.6","","-0.70%"
2009-07-05,913.15,"932.55","933.1","906","","-2.08%"
2009-07-12,937.7,"912.1","942.95","908.4","","2.69%"
2009-07-19,951.35,"938.3","958.1","937.65","","1.46%"
2009-07-26,954.75,"951.8","959.7","926.1","","0.36%"
2009-08-02,954.9,"953.3","972.25","951.85","","0.02%"
2009-08-09,947.35,"954.75","962.05","940.9","","-0.79%"
2009-08-16,954.15,"947","958.65","930.7","","0.72%"
2009-08-23,955.95,"952.9","962","940.3","","0.19%"
2009-08-30,994.4,"955.65","998.2","944.8","","4.02%"
2009-09-06,1005.85,"993.9","1,012.55","983.1","","1.15%"
2009-09-13,1007.15,"1,005.35","1,024.85","992.9","","0.13%"
2009-09-20,991.75,"1,004.85","1,019.90","985.1","","-1.53%"
2009-09-27,1002.35,"993","1,010.40","985.9","","1.07%"
2009-10-04,1049.25,"1,001.80","1,062.20","1,001.55","","4.68%"
2009-10-11,1053.25,"1,049.00","1,071.40","1,043.90","","0.38%"
2009-10-18,1054.95,"1,052.15","1,068.20","1,047.90","","0.16%"
2009-10-25,1044.9,"1,054.30","1,060.10","1,026.25","","-0.95%"
2009-11-01,1095.05,"1,044.30","1,101.30","1,040.65","","4.80%"
2009-11-08,1119.2,"1,097.41","1,123.25","1,095.80","","2.21%"
2009-11-15,1149.95,"1,118.30","1,153.15","1,118.30","","2.75%"
2009-11-22,1177.7,"1,151.80","1,195.90","1,137.80","","2.41%"
2009-11-29,1161.7,"1,176.70","1,226.60","1,147.75","","-1.36%"
2009-12-06,1114.9,"1,160.45","1,168.90","1,109.50","","-4.03%"
2009-12-13,1112.5,"1,113.80","1,141.90","1,094.90","","-0.22%"
2009-12-20,1104.5,"1,111.55","1,119.20","1,074.60","","-0.72%"
2009-12-27,1097.35,"1,107.55","1,114.60","1,086.90","","-0.65%"
2010-01-03,1136.6,"1,096.35","1,140.70","1,093.55","","3.58%"
2010-01-10,1130.9,"1,137.80","1,162.50","1,120.35","","-0.50%"
2010-01-17,1093,"1,129.30","1,141.60","1,082.30","","-3.35%"
2010-01-24,1081.55,"1,091.15","1,104.30","1,074.25","","-1.05%"
2010-01-31,1065.45,"1,080.20","1,124.95","1,044.25","","-1.49%"
2010-02-07,1093.4,"1,068.00","1,098.75","1,062.40","","2.62%"
2010-02-14,1118.85,"1,092.75","1,127.25","1,091.90","","2.33%"
2010-02-21,1116.5,"1,124.90","1,131.05","1,088.60","","-0.21%"
2010-02-28,1132.05,"1,116.55","1,145.00","1,112.05","","1.39%"
2010-03-07,1102.45,"1,135.70","1,137.80","1,098.65","","-2.61%"
2010-03-14,1107.55,"1,101.00","1,133.80","1,100.85","","0.46%"
2010-03-21,1106.6,"1,107.90","1,110.65","1,085.85","","-0.09%"
2010-03-28,1120.5,"1,110.05","1,128.25","1,101.95","","1.26%"
2010-04-04,1160.9,"1,125.10","1,165.35","1,119.20","","3.61%"
2010-04-11,1137.45,"1,166.20","1,169.70","1,130.65","","-2.02%"
2010-04-18,1157.4,"1,134.15","1,158.00","1,123.65","","1.75%"
2010-04-25,1179.25,"1,157.00","1,182.05","1,147.05","","1.89%"
2010-05-02,1208.3,"1,179.00","1,213.85","1,157.70","","2.46%"
2010-05-09,1233.05,"1,202.35","1,249.45","1,184.35","","2.05%"
2010-05-16,1177.15,"1,232.50","1,244.10","1,168.50","","-4.53%"
2010-05-23,1214.81,"1,177.43","1,219.35","1,176.98","","3.20%"
2010-05-30,1220,"1,212.55","1,231.20","1,197.65","","0.43%"
2010-06-06,1227.4,"1,219.65","1,252.70","1,211.65","","0.61%"
2010-06-13,1257.35,"1,226.45","1,262.90","1,217.05","","2.44%"
2010-06-20,1255.5,"1,259.60","1,265.90","1,225.30","","-0.15%"
2010-06-27,1211.6,"1,253.75","1,263.45","1,197.00","","-3.50%"
2010-07-04,1212,"1,210.60","1,214.85","1,185.55","","0.03%"
2010-07-11,1193.65,"1,210.65","1,218.35","1,186.35","","-1.51%"
2010-07-18,1189.1,"1,193.20","1,203.95","1,175.85","","-0.38%"
2010-07-25,1180.9,"1,189.25","1,195.30","1,157.40","","-0.69%"
2010-08-01,1205.3,"1,181.45","1,213.61","1,175.50","","2.07%"
2010-08-08,1215.55,"1,205.85","1,219.35","1,192.50","","0.85%"
2010-08-15,1228.05,"1,212.90","1,237.50","1,212.90","","1.03%"
2010-08-22,1238.2,"1,229.10","1,246.00","1,212.10","","0.83%"
2010-08-29,1247.1,"1,237.80","1,255.95","1,233.05","","0.72%"
2010-09-05,1246.45,"1,248.60","1,262.75","1,237.05","","-0.05%"
2010-09-12,1274.9,"1,246.90","1,284.25","1,242.45","","2.28%"
2010-09-19,1296.95,"1,276.90","1,300.95","1,270.85","","1.73%"
2010-09-26,1318.8,"1,299.00","1,322.30","1,284.10","","1.68%"
2010-10-03,1346.8,"1,317.90","1,365.10","1,312.25","","2.12%"
2010-10-10,1369.15,"1,346.40","1,388.10","1,340.85","","1.66%"
2010-10-17,1328.2,"1,371.50","1,375.80","1,316.09","","-2.99%"
2010-10-24,1359.55,"1,331.39","1,359.95","1,319.24","","2.36%"
2010-10-31,1393.9,"1,360.69","1,398.35","1,324.14","","2.53%"
2010-11-07,1368.95,"1,395.05","1,424.65","1,360.26","","-1.79%"
2010-11-14,1353.5,"1,366.85","1,377.06","1,329.95","","-1.13%"
2010-11-21,1364.42,"1,354.53","1,382.38","1,348.38","","0.81%"
2010-11-28,1415.05,"1,362.92","1,415.91","1,353.59","","3.71%"
2010-12-05,1386.05,"1,415.46","1,431.35","1,371.85","","-2.05%"
2010-12-12,1375.41,"1,383.91","1,408.45","1,362.11","","-0.77%"
2010-12-19,1384.75,"1,376.90","1,392.44","1,372.55","","0.68%"
2010-12-26,1421.45,"1,386.25","1,423.15","1,374.25","","2.65%"
2011-01-02,1369.6,"1,421.80","1,424.57","1,353.30","","-3.65%"
2011-01-09,1361.85,"1,369.30","1,393.30","1,355.49","","-0.57%"
2011-01-16,1342.51,"1,359.61","1,379.26","1,337.95","","-1.42%"
2011-01-23,1335.35,"1,343.40","1,353.56","1,308.56","","-0.53%"
2011-01-30,1349.25,"1,337.05","1,358.43","1,323.40","","1.04%"
2011-02-06,1356.1,"1,348.15","1,368.51","1,343.13","","0.51%"
2011-02-13,1387.3,"1,359.10","1,392.15","1,354.20","","2.30%"
2011-02-20,1409.25,"1,388.49","1,418.46","1,388.49","","1.58%"
2011-02-27,1429.3,"1,409.05","1,440.61","1,404.76","","1.42%"
2011-03-06,1417.4,"1,428.05","1,444.80","1,403.12","","-0.83%"
2011-03-13,1419.55,"1,422.09","1,433.89","1,382.90","","0.15%"
2011-03-20,1429.65,"1,425.46","1,448.40","1,422.79","","0.71%"
2011-03-27,1428.38,"1,426.35","1,439.80","1,410.45","","-0.09%"
2011-04-03,1475.1,"1,430.35","1,476.85","1,429.40","","3.27%"
2011-04-10,1486.5,"1,475.15","1,489.90","1,445.49","","0.77%"
2011-04-17,1508.13,"1,486.45","1,512.95","1,477.60","","1.46%"
2011-04-24,1565.6,"1,511.45","1,571.30","1,494.95","","3.81%"
2011-05-01,1495.25,"1,567.79","1,576.29","1,462.90","","-4.49%"
2011-05-08,1494.55,"1,493.18","1,526.82","1,479.32","","-0.05%"
2011-05-15,1513.55,"1,495.25","1,517.55","1,473.50","","1.27%"
2011-05-22,1536.65,"1,514.10","1,540.10","1,505.55","","1.53%"
2011-05-29,1542.5,"1,538.74","1,552.14","1,521.60","","0.38%"
2011-06-05,1531.9,"1,544.59","1,555.30","1,527.74","","-0.69%"
2011-06-12,1539.5,"1,530.50","1,542.15","1,511.61","","0.50%"
2011-06-19,1502.15,"1,540.40","1,559.75","1,500.41","","-2.43%"
2011-06-26,1486.5,"1,500.50","1,515.71","1,480.01","","-1.04%"
2011-07-03,1544.25,"1,488.09","1,547.30","1,487.50","","3.88%"
2011-07-10,1594.1,"1,545.55","1,596.16","1,542.30","","3.23%"
2011-07-17,1599.25,"1,595.45","1,611.51","1,583.00","","0.32%"
2011-07-24,1626.64,"1,599.28","1,632.80","1,599.28","","1.71%"
2011-07-31,1665,"1,626.64","1,682.17","1,608.19","","2.36%"
2011-08-07,1746.6,"1,662.86","1,814.40","1,662.78","","4.90%"
2011-08-14,1852.45,"1,746.25","1,877.50","1,728.01","","6.06%"
2011-08-21,1828.55,"1,859.39","1,911.96","1,702.94","","-1.29%"
2011-08-28,1884.2,"1,836.99","1,884.90","1,775.79","","3.04%"
2011-09-04,1857.81,"1,876.99","1,920.80","1,793.69","","-1.40%"
2011-09-11,1811.95,"1,858.27","1,862.21","1,763.05","","-2.47%"
2011-09-18,1656.59,"1,818.69","1,828.65","1,629.99","","-8.57%"
2011-09-25,1623.75,"1,657.29","1,677.19","1,534.99","","-1.98%"
2011-10-02,1639.45,"1,618.35","1,678.86","1,596.00","","0.97%"
2011-10-09,1679.95,"1,654.50","1,692.46","1,638.45","","2.47%"
2011-10-16,1641.02,"1,682.29","1,695.10","1,603.99","","-2.32%"
2011-10-23,1742.95,"1,642.35","1,752.85","1,635.96","","6.21%"
2011-10-30,1754.15,"1,743.01","1,768.26","1,682.60","","0.64%"
2011-11-06,1788.99,"1,753.86","1,803.11","1,736.20","","1.99%"
2011-11-13,1723.05,"1,788.34","1,796.36","1,710.34","","-3.69%"
2011-11-20,1680.13,"1,723.14","1,726.49","1,666.38","","-2.49%"
2011-11-27,1745.25,"1,681.06","1,762.61","1,681.06","","3.88%"
2011-12-04,1711.1,"1,745.90","1,755.05","1,702.69","","-1.96%"
2011-12-11,1597.95,"1,711.24","1,714.64","1,560.82","","-6.61%"
2011-12-18,1606.6,"1,599.61","1,642.36","1,583.70","","0.54%"
2011-12-25,1564.3,"1,607.15","1,611.79","1,522.44","","-2.63%"
2012-01-01,1616.85,"1,566.20","1,630.56","1,564.96","","3.36%"
2012-01-08,1639.35,"1,617.14","1,662.57","1,605.30","","1.39%"
2012-01-15,1666.9,"1,639.68","1,670.25","1,631.44","","1.68%"
2012-01-22,1738.89,"1,666.68","1,738.91","1,649.20","","4.32%"
2012-01-29,1725.3,"1,738.41","1,763.76","1,717.05","","-0.78%"
2012-02-05,1719.85,"1,726.25","1,751.86","1,704.14","","-0.32%"
2012-02-12,1722.45,"1,725.24","1,737.61","1,705.64","","0.15%"
2012-02-19,1773.49,"1,723.88","1,787.71","1,723.78","","2.96%"
2012-02-26,1712.3,"1,773.20","1,790.70","1,688.39","","-3.45%"
2012-03-04,1713.09,"1,711.16","1,716.86","1,664.45","","0.05%"
2012-03-11,1660.65,"1,709.19","1,714.41","1,634.70","","-3.06%"
2012-03-18,1662.26,"1,653.51","1,669.93","1,628.22","","0.10%"
2012-03-25,1668.9,"1,661.81","1,696.81","1,645.50","","0.40%"
2012-04-01,1639.49,"1,669.55","1,682.16","1,613.30","","-1.76%"
2012-04-08,1659,"1,641.55","1,680.31","1,627.81","","1.19%"
2012-04-15,1642.7,"1,654.20","1,657.91","1,631.41","","-0.98%"
2012-04-22,1662.05,"1,642.05","1,667.72","1,620.60","","1.18%"
2012-04-29,1642.83,"1,662.35","1,671.61","1,626.91","","-1.16%"
2012-05-06,1580.05,"1,640.40","1,643.01","1,573.90","","-3.82%"
2012-05-13,1593.09,"1,581.38","1,598.68","1,528.28","","0.83%"
2012-05-20,1573.45,"1,592.26","1,599.40","1,534.02","","-1.23%"
2012-05-27,1626.25,"1,574.20","1,630.02","1,532.10","","3.36%"
2012-06-03,1594.45,"1,625.90","1,641.11","1,562.05","","-1.96%"
2012-06-10,1626.76,"1,593.20","1,633.70","1,582.99","","2.03%"
2012-06-17,1572.15,"1,627.31","1,633.51","1,558.80","","-3.36%"
2012-06-24,1598.6,"1,571.79","1,607.19","1,547.64","","1.68%"
2012-07-01,1582.9,"1,599.30","1,625.31","1,576.70","","-0.98%"
2012-07-08,1589.05,"1,580.95","1,601.51","1,554.95","","0.39%"
2012-07-15,1583.63,"1,591.79","1,599.90","1,568.24","","-0.34%"
2012-07-22,1623.28,"1,581.64","1,629.60","1,563.49","","2.50%"
2012-07-29,1604.3,"1,624.99","1,628.20","1,584.99","","-1.17%"
2012-08-05,1620.05,"1,604.89","1,626.56","1,602.74","","0.98%"
2012-08-12,1615.8,"1,620.24","1,625.71","1,590.19","","-0.26%"
2012-08-19,1670.35,"1,616.15","1,675.30","1,610.09","","3.38%"
2012-08-26,1691.15,"1,671.55","1,693.32","1,647.34","","1.25%"
2012-09-02,1736.5,"1,692.09","1,741.80","1,685.59","","2.68%"
2012-09-09,1772.48,"1,735.74","1,778.01","1,717.14","","2.07%"
2012-09-16,1773.05,"1,774.85","1,787.81","1,752.95","","0.03%"
2012-09-23,1771.22,"1,773.43","1,783.63","1,738.03","","-0.10%"
2012-09-30,1780.98,"1,771.09","1,796.19","1,763.44","","0.55%"
2012-10-07,1754.25,"1,780.60","1,780.79","1,752.34","","-1.50%"
2012-10-14,1720.9,"1,753.49","1,753.70","1,716.29","","-1.90%"
2012-10-21,1711.35,"1,721.80","1,730.60","1,699.00","","-0.55%"
2012-10-28,1677.85,"1,711.39","1,727.00","1,674.44","","-1.96%"
2012-11-04,1731.24,"1,676.97","1,739.05","1,672.62","","3.18%"
2012-11-11,1713.7,"1,732.00","1,738.41","1,705.30","","-1.01%"
2012-11-18,1753,"1,713.60","1,754.60","1,713.49","","2.29%"
2012-11-25,1714.8,"1,752.90","1,752.90","1,706.04","","-2.18%"
2012-12-02,1703.65,"1,714.11","1,722.32","1,684.40","","-0.65%"
2012-12-09,1695.47,"1,704.49","1,723.45","1,689.39","","-0.48%"
2012-12-16,1656.99,"1,695.64","1,703.24","1,635.47","","-2.27%"
2012-12-23,1655.4,"1,657.80","1,668.01","1,650.49","","-0.10%"
2012-12-30,1656.85,"1,656.21","1,695.31","1,626.40","","0.09%"
2013-01-06,1663.05,"1,656.51","1,679.21","1,642.75","","0.37%"
2013-01-13,1683.95,"1,662.16","1,696.17","1,660.25","","1.26%"
2013-01-20,1658.69,"1,684.79","1,696.14","1,655.78","","-1.50%"
2013-01-27,1667.15,"1,658.76","1,684.00","1,652.54","","0.51%"
2013-02-03,1667.5,"1,667.76","1,685.11","1,662.00","","0.02%"
2013-02-10,1609.44,"1,666.93","1,669.69","1,598.42","","-3.48%"
2013-02-17,1580.7,"1,609.85","1,618.90","1,554.89","","-1.79%"
2013-02-24,1575.24,"1,581.29","1,620.05","1,564.83","","-0.35%"
2013-03-03,1578.35,"1,579.01","1,586.52","1,561.41","","0.20%"
2013-03-10,1592.45,"1,578.40","1,599.71","1,575.65","","0.89%"
2013-03-17,1608.45,"1,597.26","1,616.86","1,592.56","","1.00%"
2013-03-24,1596.74,"1,609.37","1,613.83","1,590.06","","-0.73%"
2013-03-31,1582,"1,597.74","1,604.10","1,540.24","","-0.92%"
2013-04-07,1478.85,"1,581.14","1,590.50","1,477.50","","-6.52%"
2013-04-14,1404.35,"1,478.30","1,495.66","1,321.85","","-5.04%"
2013-04-21,1463,"1,404.56","1,485.31","1,404.00","","4.18%"
2013-04-28,1470.7,"1,464.49","1,488.30","1,440.24","","0.53%"
2013-05-05,1448.2,"1,470.39","1,478.95","1,421.11","","-1.53%"
2013-05-12,1359.2,"1,448.69","1,448.69","1,355.60","","-6.15%"
2013-05-19,1386.05,"1,363.09","1,414.75","1,339.45","","1.98%"
2013-05-26,1386.9,"1,388.15","1,421.50","1,373.64","","0.06%"
2013-06-02,1384.47,"1,389.16","1,423.74","1,377.86","","-0.18%"
2013-06-09,1390.7,"1,378.89","1,395.16","1,367.15","","0.45%"
2013-06-16,1297.25,"1,391.29","1,392.11","1,269.39","","-6.72%"
2013-06-23,1234.25,"1,297.80","1,302.12","1,181.82","","-4.86%"
2013-06-30,1223.8,"1,233.49","1,265.93","1,207.99","","-0.85%"
2013-07-07,1284.9,"1,222.71","1,298.97","1,215.45","","4.99%"
2013-07-14,1296.35,"1,285.45","1,297.95","1,274.21","","0.89%"
2013-07-21,1333.9,"1,297.15","1,348.30","1,309.35","","2.90%"
2013-07-28,1312,"1,333.80","1,338.76","1,283.19","","-1.64%"
2013-08-04,1314.5,"1,312.99","1,319.80","1,273.14","","0.19%"
2013-08-11,1376.4,"1,314.60","1,380.21","1,314.60","","4.71%"
2013-08-18,1396.85,"1,376.35","1,400.21","1,355.26","","1.49%"
2013-08-25,1396.4,"1,399.09","1,434.02","1,391.65","","-0.03%"
2013-09-01,1391.61,"1,396.59","1,416.74","1,363.28","","-0.34%"
2013-09-08,1326.72,"1,391.05","1,391.12","1,305.03","","-4.66%"
2013-09-15,1325.38,"1,329.38","1,374.93","1,291.73","","-0.10%"
2013-09-22,1336.2,"1,326.09","1,344.30","1,306.39","","0.82%"
2013-09-29,1311.35,"1,335.85","1,344.17","1,278.80","","-1.86%"
2013-10-06,1273.11,"1,311.03","1,330.09","1,262.63","","-2.92%"
2013-10-13,1316.24,"1,272.68","1,325.70","1,252.16","","3.39%"
2013-10-20,1352.13,"1,316.44","1,355.60","1,310.23","","2.73%"
2013-10-27,1315.35,"1,353.16","1,362.21","1,306.30","","-2.72%"
2013-11-03,1288.2,"1,315.14","1,325.71","1,281.40","","-2.06%"
2013-11-10,1290.05,"1,288.69","1,294.38","1,261.28","","0.14%"
2013-11-17,1243.6,"1,290.45","1,290.61","1,236.90","","-3.60%"
2013-11-24,1253.49,"1,243.20","1,257.99","1,228.84","","0.80%"
2013-12-01,1228.85,"1,251.65","1,251.65","1,212.05","","-1.97%"
2013-12-08,1238.3,"1,229.69","1,267.76","1,220.60","","0.77%"
2013-12-15,1203.25,"1,238.20","1,252.01","1,185.71","","-2.83%"
2013-12-22,1213.19,"1,203.67","1,219.04","1,192.92","","0.83%"
2013-12-29,1236.55,"1,212.13","1,240.38","1,184.88","","1.93%"
2014-01-05,1247.1,"1,236.88","1,248.81","1,218.84","","0.85%"
2014-01-12,1253.82,"1,248.38","1,255.49","1,234.59","","0.54%"
2014-01-19,1269.25,"1,253.47","1,273.31","1,231.97","","1.23%"
2014-01-26,1243.8,"1,268.99","1,278.62","1,238.55","","-2.01%"
2014-02-02,1267.06,"1,245.18","1,273.74","1,240.72","","1.87%"
2014-02-09,1318.93,"1,266.13","1,321.34","1,265.22","","4.09%"
2014-02-16,1323.39,"1,318.92","1,332.48","1,307.85","","0.34%"
2014-02-23,1326.4,"1,325.20","1,345.96","1,319.32","","0.23%"
2014-03-02,1340.25,"1,326.29","1,355.20","1,326.29","","1.04%"
2014-03-09,1382.24,"1,339.16","1,388.40","1,329.36","","3.13%"
2014-03-16,1334.55,"1,382.07","1,392.37","1,320.85","","-3.45%"
2014-03-23,1294,"1,334.74","1,334.86","1,285.84","","-3.04%"
2014-03-30,1302.7,"1,294.28","1,307.09","1,277.88","","0.67%"
2014-04-06,1318.47,"1,302.79","1,324.90","1,295.69","","1.21%"
2014-04-13,1293.78,"1,318.77","1,331.03","1,290.46","","-1.87%"
2014-04-20,1303.45,"1,294.67","1,305.61","1,268.85","","0.75%"
2014-04-27,1300.32,"1,303.20","1,306.61","1,277.10","","-0.24%"
2014-05-04,1289.33,"1,300.89","1,316.10","1,285.64","","-0.85%"
2014-05-11,1293.7,"1,289.31","1,309.41","1,280.21","","0.34%"
2014-05-18,1293.11,"1,293.57","1,305.40","1,283.50","","-0.05%"
2014-05-25,1251.05,"1,292.76","1,294.46","1,242.35","","-3.25%"
2014-06-01,1252.73,"1,251.04","1,258.00","1,241.11","","0.13%"
2014-06-08,1277,"1,253.79","1,278.20","1,250.40","","1.94%"
2014-06-15,1314.82,"1,277.25","1,322.40","1,259.35","","2.96%"
2014-06-22,1315.35,"1,313.70","1,326.21","1,306.21","","0.04%"
2014-06-29,1320.55,"1,315.99","1,332.60","1,310.14","","0.40%"
2014-07-06,1338.15,"1,320.16","1,345.31","1,311.90","","1.33%"
2014-07-13,1310.9,"1,338.45","1,339.71","1,292.01","","-2.04%"
2014-07-20,1308.05,"1,311.00","1,318.46","1,287.72","","-0.22%"
2014-07-27,1294.1,"1,308.49","1,312.60","1,280.90","","-1.07%"
2014-08-03,1309.6,"1,293.93","1,322.86","1,282.56","","1.20%"
2014-08-10,1304.6,"1,309.30","1,319.31","1,292.61","","-0.38%"
2014-08-17,1281.23,"1,304.04","1,304.20","1,273.46","","-1.79%"
2014-08-24,1287.57,"1,279.91","1,297.00","1,274.66","","0.49%"
